filename,category,f1_score,accuracy
71_14_14_750_150,prokaryote_virus,0.9655172413793104,0.998998998998999
71_14_14_750_150,multiclass,0.9772031739094719,0.9769769769769769
71_14_14_750_150,virus,0.9757575757575758,0.991991991991992
67_17_17_720_180,eukaryote,0.9916550764951323,0.988011988011988
67_17_17_720_180,eukaryote_virus,0.9776536312849161,0.9920079920079921
67_17_17_720_180,plasmid,0.5294117647058824,0.984015984015984
67_17_17_720_180,prokaryote,0.8592592592592593,0.981018981018981
67_17_17_720_180,prokaryote_virus,0.9189189189189189,0.997002997002997
67_17_17_720_180,multiclass,0.9711901105891829,0.971028971028971
67_17_17_720_180,virus,0.9772151898734176,0.991008991008991
60_20_20_675_225,eukaryote,0.9911634756995582,0.988
60_20_20_675_225,eukaryote_virus,0.9773755656108596,0.99
60_20_20_675_225,plasmid,0.6938775510204082,0.985
60_20_20_675_225,prokaryote,0.8037383177570094,0.979
60_20_20_675_225,prokaryote_virus,0.9090909090909091,0.996
60_20_20_675_225,multiclass,0.9692285166272921,0.969
60_20_20_675_225,virus,0.9753086419753086,0.988
50_25_25_600_300,eukaryote,0.9908409658617818,0.989
50_25_25_600_300,eukaryote_virus,0.9882352941176471,0.993
50_25_25_600_300,plasmid,0.830188679245283,0.991
50_25_25_600_300,prokaryote,0.9,0.99
50_25_25_600_300,prokaryote_virus,0.9803921568627451,0.999
50_25_25_600_300,multiclass,0.9812396886550641,0.981
50_25_25_600_300,virus,0.9876160990712075,0.992
