DS_0,DS_1,DS_2,DS_3,DS_4,DS_5,DS_6,DS_7,DS_8,DS_9,DS_10,DS_11,DS_12,DS_13,DS_14,DS_15,DS_16,DS_17,DS_18,DS_19
CP047047.1,CP102269.1,CP085627.1,CP040297.1,AP023396.1,CP086938.1,CP083262.1,CP044532.1,CP084090.1,OX345018.1,CP101415.1,CP083553.1,OY734915.1,CP093443.1,OY730406.1,OX345106.1,OX345489.1,CP049037.1,AP024463.1,CP117267.1
CP132335.1,OX345528.1,OY730379.1,CP075561.1,CP114883.1,LR792461.1,CP021056.1,CP049748.1,CP081109.1,OX345592.1,CP059266.1,CP054585.1,CP061169.1,OX345160.1,CP073583.1,CP094495.1,LR792408.1,CP120992.1,CP115820.1,OX344970.1
CP079698.1,LR792447.1,OX345251.1,OX345485.1,OX344941.1,CP106663.1,CP095096.1,JAOYTH010000005.1,CP048882.1,OX344934.1,JAOYTL010000005.1,OX344988.1,CP120997.1,CP060397.1,LR792398.1,CP101497.1,JAOYTJ010000015.1,AP022612.1,CP066362.1,OX345500.1
CP073041.1,CP048834.1,CP135084.1,JAOYTH010000026.1,CP083590.1,CP080623.1,CP127251.1,CP106841.1,OY730351.1,AP018818.1,OX345413.1,CP115851.1,CP133085.1,OX345287.1,CP092172.1,CP072679.1,OX345567.1,JAOYTH010000010.1,CP089312.1,CP095855.1
OX345524.1,CP081864.1,CP093260.1,JAOYTK010000038.1,CP130319.1,OX345101.1,LR792460.1,JAOYTG010000012.1,OY730392.1,OY734922.1,CP101913.1,OX344977.1,OX345479.1,OY728642.1,OX345088.1,JAOYTM010000007.1,CP126269.1,JAOYTH010000002.1,CP067225.1,CP104499.1
JAOYTP010000020.1,OY728619.1,OX344963.1,OY734885.1,CP102384.1,CP069127.1,OX345564.1,OX345533.1,CP040605.1,OX345157.1,CP060714.1,OY730344.1,CP081106.1,OX636702.1,CP081899.1,LR792397.1,JAOYTK010000051.1,CP100652.1,CP071527.1,CP094975.1
CP121634.1,LR792406.1,CP093255.1,CP120370.1,CP041982.1,OY729505.1,CP080784.1,CP063417.1,CP049864.1,CP094974.1,OX344984.1,JAOYTH010000010.1,LR792474.1,CP099489.1,OY729418.1,OX344943.1,NZ_CP053924.1,CP049056.1,CP076135.1,CP101115.1
CP065229.1,LR792455.1,OX345578.1,CP104279.1,OY730303.1,CP085336.1,CP087968.1,OX344996.1,CP065379.1,CP047080.1,OX345162.1,CP046948.1,OX345433.1,JAOYTH010000017.1,CP086728.1,CP072380.1,NZ_CP051164.1,NZ_CP065252.1,OY730310.1,NZ_CP072478.1
AP018818.1,CP129382.1,CP081844.1,CP099399.1,CP071707.1,OY730246.1,OX345376.1,CP081941.1,CP089934.1,CP077658.1,CP098524.1,JAOYTI010000009.1,OX344961.1,CP087042.1,AP019695.1,OY730319.1,NZ_CP070344.1,NZ_CP048881.1,CP082363.1,NZ_CP067422.1
OX345592.1,CP102265.1,CP104965.1,AP024903.1,CP119223.1,CP084265.1,CP073585.1,CP096208.1,CP102149.1,CP061771.1,CP049811.1,CP104467.1,OX344986.1,CP124543.1,OY730325.1,OY734835.1,NZ_CP035973.1,NZ_CP076130.1,AP024886.1,NZ_CP036039.1
CP118020.1,OX345297.1,CP104134.1,CP059343.1,OY734890.1,CP041612.2,AP022612.1,CP089942.1,OY730344.1,CP071070.1,OY288169.1,JAOYTK010000019.1,LR792399.1,CP120370.1,CP126965.1,CP109979.1,MMETSP1403-doi:10.5281/zenodo.1212585-TRINITY_DN4192_c1_g1_i1,NZ_CP050055.1,CP059260.1,NZ_CP064061.1
JAOYTM010000015.1,CP086886.1,OX345074.1,OX345361.1,CP086901.1,AP022582.1,OX345029.1,CP107716.1,CP073720.1,CP047491.1,JAOYTH010000036.1,CP090152.1,OX345207.1,CP067169.1,JAOYTG010000029.1,AP025582.1,MMETSP1127-doi:10.5281/zenodo.1212585-TRINITY_DN9343_c7_g1_i2,NZ_CP064652.1,OY729460.1,MMETSP0029-doi:10.5281/zenodo.1212585-TRINITY_DN29197_c0_g1_i1
OX344933.1,CP117516.1,CP072156.1,LR792474.1,CP101323.1,LR792476.1,CP072152.1,CP054470.1,OX345397.1,CP040605.1,CP118101.1,OU015719.1,CP085927.1,OX345080.1,JAOYTH010000033.1,CP118396.1,MMETSP0806-doi:10.5281/zenodo.1212585-TRINITY_DN5830_c3_g1_i1,MMETSP1399-doi:10.5281/zenodo.1212585-TRINITY_DN1212_c0_g1_i1,CP047169.1,MMETSP1058-doi:10.5281/zenodo.1212585-TRINITY_DN6633_c0_g2_i1
CP047265.1,CP133020.1,CP064978.1,CP072684.1,OX345206.1,CP049818.1,OX344931.1,CP047654.1,OY365741.1,AP021884.1,CP067022.1,OY288157.1,CP066308.1,CP059400.1,OX344996.1,CP055263.1,MMETSP0011-doi:10.5281/zenodo.1212585-TRINITY_DN7759_c0_g1_i5,MMETSP0780-doi:10.5281/zenodo.1212585-TRINITY_DN14087_c2_g1_i2,NZ_CP041241.1,MMETSP0208-doi:10.5281/zenodo.1212585-TRINITY_DN4369_c0_g1_i1
CP046582.1,CP059343.1,OX345124.1,OX345405.1,CP083262.1,OY734888.1,OX345358.1,CP084930.1,CP060636.1,OX345587.1,CP028271.1,CP115484.1,JAOYTO010000013.1,OY729505.1,OX345265.1,CP084263.1,MMETSP0884-doi:10.5281/zenodo.1212585-TRINITY_DN12309_c13_g1_i1,MMETSP1161-doi:10.5281/zenodo.1212585-TRINITY_DN966_c0_g1_i1,NZ_CP053545.1,MMETSP1397-doi:10.5281/zenodo.1212585-TRINITY_DN9444_c0_g1_i2
OY729455.1,OY730490.1,OY728627.1,CP049241.1,JAOYTL010000016.1,OY288158.1,CP121659.1,CP098361.1,OX345248.1,CP051305.1,LR792475.1,OY729482.1,OY728614.1,CP087083.1,CP060388.1,JAOYTN010000021.1,MMETSP1338-doi:10.5281/zenodo.1212585-TRINITY_DN65777_c0_g1_i1,MMETSP1089-doi:10.5281/zenodo.1212585-TRINITY_DN20607_c11_g1_i1,NZ_CP048288.1,MMETSP0011-doi:10.5281/zenodo.1212585-TRINITY_DN9157_c2_g1_i2
OY728646.1,OX344966.1,CP078063.1,CP083954.1,OX345515.1,JAOYTL010000010.1,OY288163.1,OY726079.1,AP023321.1,AP024853.1,JAOEJK010000005.1,CP045504.1,CP092373.1,OX345489.1,OX345518.1,OY730398.1,MMETSP1386-doi:10.5281/zenodo.1212585-TRINITY_DN1907_c0_g2_i1,MMETSP0758-doi:10.5281/zenodo.1212585-TRINITY_DN3774_c2_g1_i1,NZ_CP059402.1,MMETSP0795-doi:10.5281/zenodo.1212585-TRINITY_DN10144_c2_g1_i1
CP066204.1,CP107201.1,CP047318.1,JAOYTK010000052.1,CP094521.1,AP025730.1,CP102845.1,LR792460.1,CP072676.1,JAOEJK010000003.1,JAOYTG010000029.1,OY730326.1,CP065373.2,CP054424.1,OY730439.1,CP086816.1,MMETSP0101-doi:10.5281/zenodo.1212585-TRINITY_DN17121_c5_g1_i1,MMETSP1426-doi:10.5281/zenodo.1212585-TRINITY_DN42267_c0_g1_i1,MMETSP0886-doi:10.5281/zenodo.1212585-TRINITY_DN10293_c3_g1_i1,MMETSP0469-doi:10.5281/zenodo.1212585-TRINITY_DN25599_c0_g1_i1
OY728619.1,OY730411.1,OU015719.1,CP073743.1,JAOYTM010000030.1,JAOYTH010000022.1,CP094262.1,JAOYTH010000003.1,CP129018.1,CP106793.1,CP066776.1,AP024329.1,OX345516.1,AP022325.1,AP023355.1,OX345287.1,MMETSP0699-doi:10.5281/zenodo.1212585-TRINITY_DN8759_c0_g4_i1,MMETSP0889-doi:10.5281/zenodo.1212585-TRINITY_DN8922_c0_g1_i33,MMETSP0900-doi:10.5281/zenodo.1212585-TRINITY_DN10561_c3_g1_i1,MMETSP0947-doi:10.5281/zenodo.1212585-TRINITY_DN18604_c0_g1_i1
CP065359.1,OX345564.1,CP086854.1,CP060828.1,CP086930.1,OX345523.1,CP016949.1,OX345361.1,JAOYTK010000042.1,JAOYTL010000040.1,CP115851.1,CP097095.1,OX345058.1,CP071182.1,OX345124.1,CP086832.1,MMETSP0014-doi:10.5281/zenodo.1212585-TRINITY_DN13396_c0_g2_i2,MMETSP1397-doi:10.5281/zenodo.1212585-TRINITY_DN9618_c0_g1_i2,MMETSP1065-doi:10.5281/zenodo.1212585-TRINITY_DN13456_c2_g2_i1,MMETSP0316-doi:10.5281/zenodo.1212585-TRINITY_DN1271_c0_g1_i1
OY730430.1,CP051130.1,OX345157.1,CP119573.1,CP060396.1,CP098453.1,CP051010.1,CP059856.1,AP024630.1,CP095394.1,OY730356.1,CP075889.1,CP109947.1,CP097562.1,CP065377.1,OX345589.1,MMETSP1070-doi:10.5281/zenodo.1212585-TRINITY_DN4560_c0_g1_i1,MMETSP1411-doi:10.5281/zenodo.1212585-TRINITY_DN10910_c3_g1_i1,MMETSP0785-doi:10.5281/zenodo.1212585-TRINITY_DN3491_c0_g1_i1,MMETSP0361-doi:10.5281/zenodo.1212585-TRINITY_DN7430_c0_g2_i1
CP079110.1,JAOYTJ010000013.1,CP073041.1,OX345129.1,CP047260.1,OY730365.1,CP091453.1,CP104100.1,OX345133.1,OX345033.1,OX345306.1,CP092179.1,CP022708.1,OX345230.1,OX345510.1,CP043571.1,MMETSP0889-doi:10.5281/zenodo.1212585-TRINITY_DN8922_c0_g1_i12,MMETSP0404-doi:10.5281/zenodo.1212585-TRINITY_DN12871_c6_g1_i1,MMETSP0933-doi:10.5281/zenodo.1212585-TRINITY_DN2023_c20_g1_i1,MMETSP0168-doi:10.5281/zenodo.1212585-TRINITY_DN4945_c0_g1_i1
CP073583.1,OY726394.1,OX345545.1,OX345260.1,CP078143.1,CP119540.1,CP061801.1,CP110217.2,CP046884.1,OY729480.1,LR594689.1,OY730334.1,JAOYTG010000009.1,LR792444.1,OX345091.1,OX345551.1,MMETSP0102-doi:10.5281/zenodo.1212585-TRINITY_DN13325_c5_g2_i1,MMETSP0143-doi:10.5281/zenodo.1212585-TRINITY_DN39349_c1_g1_i1,MMETSP0785-doi:10.5281/zenodo.1212585-TRINITY_DN5761_c0_g1_i1,MMETSP0210-doi:10.5281/zenodo.1212585-TRINITY_DN16268_c5_g1_i1
CP080784.1,OX344975.1,OX344947.1,OY288172.1,OY734888.1,OX345436.1,CP049332.1,JAOYTK010000048.1,CP097116.1,CP099837.1,CP061378.1,OX345498.1,JAOYTN010000007.1,JAOYTO010000007.1,CP083347.1,CP061275.1,MMETSP0201-doi:10.5281/zenodo.1212585-TRINITY_DN75000_c0_g2_i1,MMETSP1103-doi:10.5281/zenodo.1212585-TRINITY_DN7031_c0_g1_i1,MMETSP1061-doi:10.5281/zenodo.1212585-TRINITY_DN8112_c8_g1_i4,MMETSP1129-doi:10.5281/zenodo.1212585-TRINITY_DN620_c0_g2_i1
CP116239.1,CP097269.1,JAOYTH010000001.1,AP027742.1,OX345107.1,CP107207.1,OY735138.1,OX345490.1,OY729470.1,CP094622.1,OY730337.1,CP120992.1,OX345487.1,CP127832.1,OY734929.1,CP090557.1,MMETSP0780-doi:10.5281/zenodo.1212585-TRINITY_DN15189_c1_g2_i7,MMETSP0013-doi:10.5281/zenodo.1212585-TRINITY_DN13453_c0_g1_i1,MMETSP1057-doi:10.5281/zenodo.1212585-TRINITY_DN3736_c1_g1_i1,MMETSP1082-doi:10.5281/zenodo.1212585-TRINITY_DN3175_c0_g1_i3
AP025567.1,CP093336.1,OY728638.1,CP081155.1,AP022839.1,CP102747.1,CP050692.1,JAOYTK010000051.1,CP092711.1,CP050811.1,CP115895.1,CP128232.1,OY728634.1,OY730376.1,OY729508.1,OX345531.1,MMETSP1132-doi:10.5281/zenodo.1212585-TRINITY_DN12432_c0_g1_i1,MMETSP0011-doi:10.5281/zenodo.1212585-TRINITY_DN8866_c0_g2_i1,MMETSP0114-doi:10.5281/zenodo.1212585-TRINITY_DN23423_c0_g1_i1,MMETSP0382-doi:10.5281/zenodo.1212585-TRINITY_DN65807_c0_g1_i1
CP091793.1,CP022708.1,OX344987.1,CP069486.1,CP054675.1,CP089301.1,CP126994.1,CP102404.1,CP095475.1,CP054470.1,CP062231.1,OX345382.1,LR778301.1,JAOYTM010000030.1,CP107210.1,JAOYTH010000024.1,MMETSP0042-doi:10.5281/zenodo.1212585-TRINITY_DN13368_c1_g1_i2,MMETSP0040-doi:10.5281/zenodo.1212585-TRINITY_DN18192_c14_g1_i59,MMETSP0104-doi:10.5281/zenodo.1212585-TRINITY_DN10329_c0_g1_i1,MMETSP0938-doi:10.5281/zenodo.1212585-TRINITY_DN2702_c0_g1_i9
OX345340.1,OX345215.1,OX345512.1,JAOYTK010000043.1,OY288149.1,CP077094.1,OY729488.1,JAOYTJ010000008.1,CP119409.1,CP093337.1,CP049139.1,OX639965.1,OY730344.1,CP054858.1,OY288149.1,NZ_CP072474.1,MMETSP0321-doi:10.5281/zenodo.1212585-TRINITY_DN8957_c0_g1_i2,MMETSP0100-doi:10.5281/zenodo.1212585-TRINITY_DN4165_c1_g1_i1,MMETSP0361-doi:10.5281/zenodo.1212585-TRINITY_DN37386_c4_g3_i1,MMETSP0817-doi:10.5281/zenodo.1212585-TRINITY_DN3704_c0_g1_i1
CP059491.1,CP102283.1,CP049156.1,JAOYTJ010000015.1,AP022613.1,OX345029.1,CP059378.1,CP083451.1,CP120374.1,OY730410.1,OY729463.1,OX345410.1,CP134781.1,CP124833.1,OY730323.1,NZ_CP063365.1,MMETSP1397-doi:10.5281/zenodo.1212585-TRINITY_DN9308_c0_g1_i4,MMETSP0942-doi:10.5281/zenodo.1212585-TRINITY_DN12065_c0_g1_i1,MMETSP0011-doi:10.5281/zenodo.1212585-TRINITY_DN8837_c0_g1_i7,MMETSP1126-doi:10.5281/zenodo.1212585-TRINITY_DN1444_c0_g1_i1
CP120988.1,OX345288.1,CP072827.1,CP073015.1,OY729478.1,OX345513.1,OX345403.1,CP130713.1,JAOYTJ010000003.1,CP124927.1,CP059851.1,CP061510.1,OX345441.1,CP132302.1,CP089980.1,CP049517.1,MMETSP1098-doi:10.5281/zenodo.1212585-TRINITY_DN40944_c2_g1_i2,MMETSP0795-doi:10.5281/zenodo.1212585-TRINITY_DN1447_c1_g1_i1,MMETSP0789-doi:10.5281/zenodo.1212585-TRINITY_DN5174_c0_g1_i1,MMETSP0814-doi:10.5281/zenodo.1212585-TRINITY_DN16855_c0_g1_i1
OY734927.1,AP025576.1,CP086783.1,OX344955.1,OY729488.1,CP061498.1,CP119676.1,JAOYTK010000052.1,CP082237.1,CP074352.1,OX345156.1,AP022565.1,CP094521.1,CP087032.1,AP026893.1,NZ_CP069241.1,MMETSP1388-doi:10.5281/zenodo.1212585-TRINITY_DN19488_c0_g1_i1,MMETSP0013-doi:10.5281/zenodo.1212585-TRINITY_DN13315_c0_g1_i1,MMETSP0971-doi:10.5281/zenodo.1212585-TRINITY_DN9487_c1_g2_i1,MMETSP0102-doi:10.5281/zenodo.1212585-TRINITY_DN13364_c7_g1_i1
CP134165.1,JAOYTH010000014.1,AP023263.1,OY730351.1,OX345255.1,OX345210.1,CP051480.1,CP133269.1,CP086971.1,CP110666.1,CP084000.1,AP024238.1,CP101458.1,JAOYTK010000006.1,OY729452.1,NZ_CP068723.1,MMETSP1101-doi:10.5281/zenodo.1212585-TRINITY_DN31401_c1_g1_i1,MMETSP0030-doi:10.5281/zenodo.1212585-TRINITY_DN56487_c0_g1_i1,MMETSP0017-doi:10.5281/zenodo.1212585-TRINITY_DN11573_c0_g1_i1,MMETSP0593-doi:10.5281/zenodo.1212585-TRINITY_DN10196_c0_g2_i1
OX345439.1,CP121667.1,LR792445.1,OX345547.1,CP060419.1,CP091786.1,LR792449.1,CP097017.1,CP045700.1,OY288186.1,CP119306.1,OX345276.1,CP065000.1,JAOYTH010000013.1,AP023262.1,NZ_CP069003.1,MMETSP0785-doi:10.5281/zenodo.1212585-TRINITY_DN631_c0_g1_i1,MMETSP1408-doi:10.5281/zenodo.1212585-TRINITY_DN8969_c0_g1_i1,MMETSP1173-doi:10.5281/zenodo.1212585-TRINITY_DN13202_c0_g2_i1,MMETSP1058-doi:10.5281/zenodo.1212585-TRINITY_DN8400_c0_g1_i1
AP024650.1,CP101806.1,JAOYTH010000006.1,OX345197.1,CP051487.1,OX344928.1,CP046582.1,OY730347.1,CP101415.1,OY734863.1,CP031142.1,OX345161.1,AP025284.1,CP083344.1,CP116038.1,NZ_CP054625.1,MMETSP0903-doi:10.5281/zenodo.1212585-TRINITY_DN14913_c0_g2_i2,MMETSP0472-doi:10.5281/zenodo.1212585-TRINITY_DN83837_c0_g1_i1,MMETSP0886-doi:10.5281/zenodo.1212585-TRINITY_DN660_c0_g2_i1,MMETSP0360-doi:10.5281/zenodo.1212585-TRINITY_DN33478_c0_g1_i1
CP047043.1,CP114029.1,CP059851.1,CP050699.1,CP120359.1,JAOYTG010000032.1,CP099712.1,OY288184.1,AP026679.1,OX345377.1,OX345442.1,OX345544.1,AP027744.1,OX345413.1,JAOYTO010000009.1,NZ_CP069927.1,MMETSP0059-doi:10.5281/zenodo.1212585-TRINITY_DN21015_c1_g1_i1,MMETSP1402-doi:10.5281/zenodo.1212585-TRINITY_DN4535_c4_g1_i2,MMETSP0798-doi:10.5281/zenodo.1212585-TRINITY_DN1359_c0_g1_i1,MMETSP0013-doi:10.5281/zenodo.1212585-TRINITY_DN12947_c1_g1_i2
AP024896.1,OX345027.1,CP060724.1,CP104877.1,CP044532.1,AP025148.1,CP081155.1,JAOYTJ010000007.1,OX345063.1,OX345286.1,CP097268.1,CP115775.1,CP073078.1,JAOYTO010000008.1,OX345433.1,NZ_CP049283.1,MMETSP0098-doi:10.5281/zenodo.1212585-TRINITY_DN10605_c0_g2_i3,MMETSP0889-doi:10.5281/zenodo.1212585-TRINITY_DN8873_c1_g1_i1,MMETSP1060-doi:10.5281/zenodo.1212585-TRINITY_DN7347_c11_g1_i1,MMETSP1015-doi:10.5281/zenodo.1212585-TRINITY_DN51112_c0_g1_i1
OX344997.1,CP127247.1,OX345079.1,JAOYTK010000046.1,CP120374.1,CP045239.1,CP068346.1,OX345231.1,CP119574.1,CP090820.1,OX345351.1,CP104213.1,AP022201.1,AP025156.1,OX345548.1,AP023409.1,MMETSP0812-doi:10.5281/zenodo.1212585-TRINITY_DN10086_c4_g1_i1,MMETSP1460-doi:10.5281/zenodo.1212585-TRINITY_DN2535_c0_g1_i1,MMETSP1082-doi:10.5281/zenodo.1212585-TRINITY_DN3118_c4_g2_i1,MMETSP0109-doi:10.5281/zenodo.1212585-TRINITY_DN13558_c14_g1_i10
OX345536.1,OX345227.1,CP086764.1,OY288184.1,CP073585.1,CP070327.1,CP117261.1,CP049028.1,JAOEJK010000004.1,CP119318.1,CP099619.1,OY730377.1,CP104497.1,JAOYTG010000029.1,OX345287.1,NZ_CP053819.1,MMETSP1433-doi:10.5281/zenodo.1212585-TRINITY_DN7058_c0_g6_i1,MMETSP1071-doi:10.5281/zenodo.1212585-TRINITY_DN9073_c0_g3_i1,MMETSP0973-doi:10.5281/zenodo.1212585-TRINITY_DN8193_c0_g1_i1,MMETSP0527-doi:10.5281/zenodo.1212585-TRINITY_DN56264_c0_g1_i1
CP079742.1,OX345085.1,CP071860.1,CP102268.1,CP121650.1,CP117516.1,CP080590.1,CP084910.1,CP071872.1,CP117519.1,CP129488.1,CP132353.1,OX345133.1,CP071798.1,OY730358.1,NZ_AP023181.1,MMETSP0013-doi:10.5281/zenodo.1212585-TRINITY_DN10803_c0_g1_i1,MMETSP0726-doi:10.5281/zenodo.1212585-TRINITY_DN11537_c0_g1_i1,MMETSP0039-doi:10.5281/zenodo.1212585-TRINITY_DN46083_c0_g1_i1,MMETSP1012-doi:10.5281/zenodo.1212585-TRINITY_DN23833_c0_g1_i1
CP103875.1,CP102355.1,OX345468.1,JAOYTI010000007.1,OX345547.1,OY730268.1,CP104134.1,CP072157.1,OX344990.1,OX345346.1,CP058705.1,CP055263.1,CP083956.1,JAOYTK010000037.1,CP088010.1,MMETSP0098-doi:10.5281/zenodo.1212585-TRINITY_DN10288_c0_g1_i1,MMETSP0011-doi:10.5281/zenodo.1212585-TRINITY_DN7943_c1_g1_i23,MMETSP0098-doi:10.5281/zenodo.1212585-TRINITY_DN11512_c0_g1_i1,MMETSP1426-doi:10.5281/zenodo.1212585-TRINITY_DN18964_c0_g1_i1,MMETSP1141-doi:10.5281/zenodo.1212585-TRINITY_DN4452_c0_g1_i1
OX345289.1,JAOYTH010000029.1,JAOYTO010000005.1,CP102410.1,AP023262.1,CP123967.1,OX345010.1,CP093324.1,CP102294.1,OX345505.1,JAOYTK010000035.1,CP095501.1,OX344973.1,CP080776.1,JAOYTM010000036.1,MMETSP0699-doi:10.5281/zenodo.1212585-TRINITY_DN9462_c0_g2_i1,MMETSP1094-doi:10.5281/zenodo.1212585-TRINITY_DN29897_c0_g2_i1,MMETSP0109-doi:10.5281/zenodo.1212585-TRINITY_DN13164_c1_g1_i1,MMETSP0972-doi:10.5281/zenodo.1212585-TRINITY_DN3845_c0_g1_i1,MMETSP0799-doi:10.5281/zenodo.1212585-TRINITY_DN40122_c6_g1_i1
AP022673.1,JAOYTI010000009.1,OX345532.1,OX345515.1,CP130649.1,CP083560.1,JAOYTK010000014.1,OY729434.1,LR792475.1,CP072141.1,JAOYTN010000024.1,OX344960.1,OY288143.1,CP038155.1,OY734908.1,MMETSP0933-doi:10.5281/zenodo.1212585-TRINITY_DN2001_c4_g2_i1,MMETSP0098-doi:10.5281/zenodo.1212585-TRINITY_DN8235_c0_g1_i1,MMETSP0156-doi:10.5281/zenodo.1212585-TRINITY_DN8068_c0_g1_i1,MMETSP0977-doi:10.5281/zenodo.1212585-TRINITY_DN10241_c0_g2_i1,MMETSP1327-doi:10.5281/zenodo.1212585-TRINITY_DN4418_c16_g1_i1
JAOYTK010000004.1,CP092373.1,OY288171.1,CP121650.1,CP068029.1,AP024958.1,OX344939.1,CP124833.1,JAOYTN010000021.1,CP081109.1,CP059265.1,OX345225.1,NZ_AP024327.1,NZ_CP055154.1,CP113264.1,MMETSP1362-doi:10.5281/zenodo.1212585-TRINITY_DN11575_c0_g1_i1,MMETSP0017-doi:10.5281/zenodo.1212585-TRINITY_DN15283_c0_g1_i2,MMETSP0807-doi:10.5281/zenodo.1212585-TRINITY_DN3934_c0_g1_i1,MMETSP1397-doi:10.5281/zenodo.1212585-TRINITY_DN10068_c0_g1_i1,MMETSP0295-doi:10.5281/zenodo.1212585-TRINITY_DN20202_c1_g1_i1
OX345132.1,OX345380.1,CP074352.1,AP024894.1,OX345550.1,CP091735.1,CP060828.1,JAOYTO010000005.1,OX344977.1,OX638326.1,OX345372.1,OY728621.1,NZ_CP047896.1,NZ_CP050268.1,AP023418.1,MMETSP0887-doi:10.5281/zenodo.1212585-TRINITY_DN9781_c13_g1_i1,MMETSP0011-doi:10.5281/zenodo.1212585-TRINITY_DN6676_c0_g1_i9,MMETSP1355-doi:10.5281/zenodo.1212585-TRINITY_DN18958_c1_g1_i1,MMETSP0810-doi:10.5281/zenodo.1212585-TRINITY_DN12959_c0_g1_i1,MMETSP1397-doi:10.5281/zenodo.1212585-TRINITY_DN8480_c0_g1_i1
CP128646.1,JAOYTK010000030.1,OY730437.1,CP096201.1,CP127165.1,OX345545.1,CP079698.1,OX345588.1,JAOYTP010000019.1,JAOYTH010000016.1,OY730301.1,AP025144.1,NZ_CP048881.1,NZ_CP065541.1,CP059165.1,MMETSP1397-doi:10.5281/zenodo.1212585-TRINITY_DN10595_c1_g1_i5,MMETSP0941-doi:10.5281/zenodo.1212585-TRINITY_DN1000_c0_g1_i1,MMETSP1397-doi:10.5281/zenodo.1212585-TRINITY_DN6247_c0_g1_i4,MMETSP0111-doi:10.5281/zenodo.1212585-TRINITY_DN3059_c0_g1_i1,MMETSP0891-doi:10.5281/zenodo.1212585-TRINITY_DN5731_c8_g1_i1
OY730339.1,OY734832.1,CP049863.1,LR792443.1,OX345201.1,OX345588.1,CP021247.1,CP066784.1,CP103057.1,LR792395.1,JAOYTO010000013.1,OY365739.1,NZ_AP024325.1,NZ_CP047174.1,CP061693.1,MMETSP0982-doi:10.5281/zenodo.1212585-TRINITY_DN10782_c0_g2_i1,MMETSP0403-doi:10.5281/zenodo.1212585-TRINITY_DN12524_c0_g1_i1,MMETSP1169-doi:10.5281/zenodo.1212585-TRINITY_DN5373_c0_g1_i1,MMETSP1440-doi:10.5281/zenodo.1212585-TRINITY_DN38479_c8_g2_i1,MMETSP1137-doi:10.5281/zenodo.1212585-TRINITY_DN19227_c1_g1_i1
